In the Far East there was a Great King | No Extremo Oriente havia um Grande Rei
who had no work to do. | que não tinha nenhum trabalho para fazer.
Every day, and all day long, | Todos os dias, e o dia todo,
he sat on soft cushions and listened to stories. | ele se sentava em almofadas macias e escutava histórias.
And no matter what the story was about, | E não importava sobre o que era a história,
he never grew tired of hearing it, | ele nunca se cansava de escutá-la,
even though many of the stories took hours to complete. | mesmo que muitas histórias levassem horas para acabar.
“There is only one fault with your story,” he often said, | “Há apenas uma falha na sua história,” ele frequentemente dizia,
“it is too short.” | “ela é muito curta.”
All the storytellers in the world were invited to his palace; | Todos os contadores de histórias do mundo eram convidados ao seu palácio;
and some of them told stories that were very long indeed. | e alguns deles contavam histórias que eram de fato muito longas end.
In the podcast, you'll hear from industry experts on key issues impacting payroll, from human capital management to compliance and benefits. | No podcast, você vai ouvir especialistas do setor sobre temas-chave que impactam a folha de pagamento, de gestão de capital humano a compliance e benefícios.
I'm your host, Abby Thompson. | Eu sou sua anfitriã, Abby Thompson.
In each episode, I'm speaking with global industry leaders who provide their unique insights to help listeners better understand the challenges and opportunities shaping the future of payroll. | Em cada episódio, converso com líderes globais do setor, que compartilham insights únicos para ajudar os ouvintes a entender melhor os desafios e as oportunidades que estão moldando o futuro da folha de pagamento.
In this episode, we're tackling talent shortages and hiring trends. | Neste episódio, vamos abordar a escassez de talentos e as tendências de contratação.
We'll cover challenges related to in-house versus remote teams. | Vamos falar sobre os desafios relacionados a equipes internas versus equipes remotas.
We'll also discuss skills-based hiring and why more employers are ditching the four-year degree requirement. | Também vamos discutir contratação baseada em competências e por que mais empregadores estão deixando de exigir graduação de quatro anos.
You'll hear about the evolution of AI and the role it plays in navigating these topics. | Você vai ouvir sobre a evolução da IA e o papel que ela desempenha para navegar por esses temas.
I'm joined by my colleague at Paychex, Nina Talley. | Estou acompanhada pela minha colega na Paychex, Nina Talley.
Nina is a talent enablement partner. | A Nina é parceira de habilitação de talentos.
She leads an HR team that supports recruiting efforts for the entire organization. | Ela lidera uma equipe de RH que apoia os esforços de recrutamento para toda a organização.
Nina, welcome to PayTalk. | Nina, bem-vinda ao PayTalk.
Thanks, Abby, for having me. | Obrigada, Abby, por me receber.
Let's start by painting a picture of how employers are feeling in 2025. | Vamos começar traçando um panorama de como os empregadores estão se sentindo em 2025.
We've had a bit of a tumultuous few years, and some key trends have emerged. | Tivemos alguns anos um pouco turbulentos, e algumas tendências-chave surgiram.
What are you seeing in the market and how are employers approaching hiring right now? | O que você está vendo no mercado e como os empregadores estão encarando as contratações neste momento?
So one interesting thing about 2025 compared to what we have experienced in past years is we're seeing the labor market continue to cool. | Uma coisa interessante sobre 2025, em comparação com o que vivemos nos anos anteriores, é que estamos vendo o mercado de trabalho continuar esfriando.
And what I mean by cooling is that we are seeing less overall hiring as well as less overall turnover. | E, ao dizer esfriando, quero dizer que estamos vendo menos contratações no geral e também menos rotatividade no geral.
So overall, this seems like a good thing, because in other years we've been in kind of an environment where we need people, we need people. | No geral, isso parece algo positivo, porque em outros anos ficamos num ambiente de “precisamos de gente, precisamos de gente”.
Right now, we're kind of starting to stabilize a little bit, which in some ways can make it a little bit easier to hire because you're not competing with as many people in the market. | Agora, estamos começando a estabilizar um pouco, o que em alguns aspectos pode facilitar a contratação, porque você não está competindo com tanta gente no mercado.
However, we are still in a market where talent shortages exist, and so that can make it difficult. | Porém, ainda estamos em um mercado em que existe escassez de talentos, e isso pode dificultar.
The other key trend that I would say is still happening in 2025 is that we are seeing that there are still industries that are harder hit by talent shortages, and that's really driving a lot of difficulty for employers. | Outra tendência-chave que eu diria que ainda está acontecendo em 2025 é que ainda há setores mais afetados pela escassez de talentos, e isso está gerando muita dificuldade para os empregadores.
And the final trend I would say is that remote work is still a pretty contentious issue. | E a última tendência que eu diria é que o trabalho remoto ainda é um tema bem controverso.
And even in 2025, it seems to still be going strong. | E, mesmo em 2025, parece que isso continua forte.
Definitely. | Com certeza.
Let's dig in a little bit more on those talent shortages. | Vamos aprofundar um pouco mais nessa escassez de talentos.
Are there any industries you see that are hit particularly hard? | Há algum setor que você veja sendo particularmente afetado?
And if so, why do you think that is, or what are they doing to try to alleviate the shortage? | E, se sim, por que você acha que isso acontece, ou o que eles estão fazendo para tentar aliviar a escassez?
We are seeing the industry that is being hit hardest right now is healthcare, and it's the industry that continues to see the most labor shortage. | O setor mais impactado no momento é o de saúde, e é o setor que continua vendo a maior escassez de mão de obra.
That is for a variety of reasons, but it's really around, historically, the healthcare industry tends to have a more aged workforce. | Isso acontece por vários motivos, mas tem muito a ver com o fato de que, historicamente, o setor de saúde tende a ter uma força de trabalho mais envelhecida.
And so the talent that is aging out that is retiring isn't being replaced by talent that is coming in. | Então, os profissionais que estão saindo por idade e se aposentando não estão sendo substituídos por novos profissionais que estão entrando.
And what makes it particularly difficult for healthcare is healthcare is a really interesting field where that replacement talent needs to be really, really skilled. | E o que torna isso particularmente difícil na área da saúde é que ela é um campo em que esse talento de reposição precisa ser muito, muito qualificado.
So you can't just bring in anyone from any background. | Então, você não pode simplesmente trazer qualquer pessoa de qualquer histórico.
You need individuals who have the proper training, the proper education, and that makes the pool smaller. | Você precisa de pessoas com o treinamento adequado, a formação adequada, e isso torna o grupo de candidatos menor.
So those organizations are really kind of having to flex their muscles and come at hiring in different ways. | Por isso, essas organizações estão tendo que se reinventar e abordar a contratação de formas diferentes.
So the ways that we've seen them doing that is first by increasing the compensation. | E as formas que temos visto para isso começam por aumentar a remuneração.
So being really, really competitive with your pay and your benefits. | Ou seja, ser muito competitivo em salário e benefícios.
Another thing is meeting the needs of your talent. | Outra coisa é atender às necessidades do seu talento.
So if you have some talent that is looking for more flexibility, then maybe offering flexible schedules, offering maybe more part-time work, things like that. | Então, se você tem profissionais buscando mais flexibilidade, talvez oferecer escalas flexíveis, talvez mais trabalho em tempo parcial, coisas assim.
Another thing is also looking at maybe those early talent populations and bringing in and building a pipeline. | Outra iniciativa é olhar para talentos mais no início da carreira e trazer essas pessoas, construindo um pipeline.
So if you're able to bring in talent earlier, you can really build that talent and really develop those skills. | Ou seja, se você consegue trazer talentos mais cedo, pode realmente desenvolver essas pessoas e construir essas competências.
So healthcare is a field where that pipeline is so important. | Então, na área da saúde, esse pipeline é muito importante.
You really need to build a strong foundation for the future. | Você realmente precisa construir uma base forte para o futuro.
Is there any conversation about, say, people from other industries coming in and then going through extensive training to enter healthcare roles? | Existe alguma discussão sobre, por exemplo, pessoas de outros setores entrarem e passarem por um treinamento extenso para assumir funções na área da saúde?
And that's such a good point, and that is what AI is always going to miss as advanced as it gets. | E esse é um ponto muito bom, e é isso que a IA sempre vai deixar passar, por mais avançada que ela fique.
There is something intangible to humanity that is about culture, is about the sense of a person, is about their willingness to learn and flex and be adaptable. | Existe algo intangível no ser humano que tem a ver com cultura, com o senso da pessoa, com a disposição de aprender, se ajustar e ser adaptável.
And I think that's always an important thing to remember when we talk about AI and it encroaching in these spaces. | E eu acho que isso é sempre importante lembrar quando falamos de IA e dela avançando nesses espaços.
So there's a lot of conventional wisdom about what employers view as red flags, things like job hopping or gaps in employment history. | Existe muita “sabedoria convencional” sobre o que os empregadores veem como sinais de alerta, coisas como trocar muito de emprego ou ter lacunas no histórico profissional.
How much of that is still true today and how has the employer perspective changed in recent years about those sort of conventional ideas of red flags? | Quanto disso ainda é verdade hoje, e como a perspectiva dos empregadores mudou nos últimos anos em relação a essas ideias tradicionais de sinais de alerta?
Yeah, I think people are getting a little bit more flexible. | Sim, acho que as pessoas estão ficando um pouco mais flexíveis.
that's not going to be a remote employee. | isso não vai ser um colaborador remoto.
Nina Talley: With that, I know that there are a lot of recruiters and a lot of employers now who are using AI tools for | Nina Talley: Com isso, eu sei que há muitos recrutadores e muitos empregadores agora usando ferramentas de IA para
the first round of screening. With us talking about looking for the right person who maybe doesn't have | a primeira rodada de triagem. E, como estamos falando de buscar a pessoa certa que talvez não tenha
100% of the skill sets, do you have any advice for our listeners on how to position themselves in their | 100% das competências, você tem algum conselho para nossos ouvintes sobre como se posicionar no
resume to get through those AI screeners should they not have 100% of the skills that they're looking for? | currículo para passar por esses filtros de IA, caso não tenham 100% das habilidades que estão buscando?
Abby Thompson: I think a lot of it comes down to how you can think about some of your past experience and if you don't | Abby Thompson: Acho que muito disso depende de como você apresenta parte da sua experiência passada e, se você não
have exactly what they're looking for, how can you demonstrate your ability to have a really high | tem exatamente o que eles procuram, como você pode demonstrar sua capacidade de ter uma
